PROCID,MTYPE,LastEndDate,FirstStartDate,NumComp,TestTime_Mean,TestTime_Min,TestTime_Max,TestTime_SDev,PFSTATUS,PFCount,%PF
6400,AR6E,2015-10-06 10:56:20,2015-10-05 17:19:46,240,16.214,0.029,17.293,3.134,Pass,217,90.417
6400,AR6E,2015-10-06 10:56:20,2015-10-05 17:19:46,240,16.214,0.029,17.293,3.134,Fail,23,9.583
6600,AR6E,2015-10-27 10:01:54,2015-10-06 16:32:40,216,182.245,0.001,305.418,80.846,Fail,216,100.000
