HDDSN,ENDDATE,STARTDATE,PROCID,MTYPE,MFGID,PFCODE,PFSUBCODE,HSATRIAL,HDDTRIAL,PARTID,PARTFLAG,ASMLINE,ASMTEAM,TESTERID,CELLID,TESTPGMVER,FAILEDHEAD,HDDCYCLE,RWKDISP,RWKDEPTH_MAX,RWKDEPTH_CUR,HSASN,DISKSETID,HDEPARTSETID,HDDPARTSETID,STORETS,DayDifference,TestTime
1EJXA6NJ    ,2015-10-20 08:17:12,2015-10-13 16:11:03,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X439,015200,ARHS36AC,00000000,1,XN,0,0,M505ZD40    ,1,2,1,2015-10-20 09:05:19,7,160.102
1EJXA6MJ    ,2015-10-20 12:02:34,2015-10-13 18:15:49,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X435,032800,ARHS36AC,00000000,1,XN,0,0,M505ZT56    ,1,2,1,2015-10-20 12:30:19,7,161.779
1EJXA6GJ    ,2015-10-20 08:57:34,2015-10-13 18:05:47,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X434,031501,ARHS36AC,00000000,1,XN,0,0,M505STW4    ,1,2,1,2015-10-20 09:35:27,7,158.863
1EJXA6BJ    ,2015-10-20 08:02:32,2015-10-13 16:36:08,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X43C,017101,ARHS36AC,00000000,1,XN,0,0,M5068GT3    ,1,2,1,2015-10-20 08:35:19,7,159.440
1EJXA68J    ,2015-10-20 09:39:56,2015-10-13 18:04:47,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X438,104500,ARHS36AC,00000000,1,XN,0,0,M505STW3    ,1,2,1,2015-10-20 10:05:18,7,159.586
1EJXA67J    ,2015-10-20 10:37:23,2015-10-13 18:11:48,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X435,012801,ARHS36AC,00000000,1,XN,0,0,M5067W16    ,1,2,1,2015-10-20 11:05:16,7,160.426
1EJXA65J    ,2015-10-20 11:04:21,2015-10-13 18:01:43,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D2D2    10,   0  0,LF,58,X432,030500,ARHS36AC,00000000,1,XN,0,0,M505ZC81    ,1,2,1,2015-10-20 11:35:16,7,161.044
1EJX9UNJ    ,2015-10-20 05:45:50,2015-10-13 18:10:53,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0D3D2    10,   0  0,LI,16,X438,013900,ARHS36AC,00000000,1,XN,0,0,M5066G51    ,1,2,1,2015-10-20 06:35:10,7,155.582
1EJX9SVJ    ,2015-10-26 04:41:28,2015-10-13 18:07:53,6600,AR6E,AR3105    ,TSCX,00000000,0000,A1JF,101010A0A0A2D2    10,   0  0,LI,16,X438,033900,ARHS36AC,00000000,1,XN,0,0,M5064TB3    ,1,2,1,2015-10-26 05:18:38,13,298.559
1EJX9PKJ    ,2015-10-19 03:25:20,2015-10-13 17:55:45,6600,AR6E,AR4105    ,TSCX,00000000,0000,A1JF,101010A0A0D3D2    10,   0  0,LI,16,X431,141201,ARHS36AC,00000000,1,XN,0,0,M50676Z0    ,1,2,1,2015-10-19 04:04:47,6,129.493
