PROCID,MTYPE,LastEndDate,FirstStartDate,NumComp,TestTime_Mean,TestTime_Min,TestTime_Max,TestTime_SDev,PFSTATUS,PFCount,%PF
6400,AR6E,2016-03-23 16:13:58,2016-03-22 02:24:52,410,9.691,0.000,18.914,7.751,Pass,196,47.805
6400,AR6E,2016-03-23 16:13:58,2016-03-22 02:24:52,410,9.691,0.000,18.914,7.751,Fail,214,52.195
